[0.000000] (-) TimerEvent: {}
[0.000661] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000666] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000672] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000677] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000682] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000687] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000692] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000697] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000702] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000708] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000713] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000719] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000724] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000729] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000734] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000740] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000745] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000750] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000764] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000769] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000774] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000779] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000785] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000790] (-) JobUnselected: {'identifier': 'object_creation'}
[0.000795] (-) JobUnselected: {'identifier': 'object_detection'}
[0.000801] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.000806] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000811] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.000816] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000822] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000827] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.000832] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.000838] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000843] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000848] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000853] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000858] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000864] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000872] (-) JobUnselected: {'identifier': 'serial'}
[0.000878] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.000883] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.000888] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.000893] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.000898] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.000904] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.000909] (-) EventReactorShutdown: {}
