[0.000000] (-) TimerEvent: {}
[0.000943] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000955] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000967] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000996] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001012] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001019] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001025] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001034] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001039] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001044] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001049] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001054] (-) JobUnselected: {'identifier': 'object_creation'}
[0.001059] (-) JobUnselected: {'identifier': 'object_detection'}
[0.001068] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.001074] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.001079] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.001089] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001094] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001099] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.001104] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.001109] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001114] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001120] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001125] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001130] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001135] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001141] (-) JobUnselected: {'identifier': 'serial'}
[0.001150] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.001155] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.001161] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.001166] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.001171] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.001188] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.001194] (-) EventReactorShutdown: {}
